ProductBenefitRecommendedSIID,ProductCode,BenefitCode,Age,RecommendedSI,dtmCreated,CreatedBy,dtmUpdated,UpdatedBy,dtmValidFrom,dtmValidTo
284,HAF,DTH,26,15000,50:23.6,System02,45:48.7,System02,00:00.0,44:48.7
285,HAF,DTH,27,15000,50:23.6,System02,45:48.8,System02,00:00.0,44:48.8
286,HAF,DTH,28,15000,50:23.6,System02,45:48.8,System02,00:00.0,44:48.8
287,HAF,DTH,29,15000,50:23.6,System02,45:48.8,System02,00:00.0,44:48.8
288,HAF,DTH,30,15000,50:23.6,System02,45:48.8,System02,00:00.0,44:48.8
289,HAF,DTH,31,15000,50:23.6,System02,45:48.9,System02,00:00.0,44:48.9
290,HAF,DTH,32,15000,50:23.6,System02,45:48.9,System02,00:00.0,44:48.9
291,HAF,DTH,33,15000,50:23.6,System02,45:48.9,System02,00:00.0,44:48.9
292,HAF,DTH,34,15000,50:23.6,System02,45:48.9,System02,00:00.0,44:48.9
293,HAF,DTH,35,15000,50:23.6,System02,45:48.9,System02,00:00.0,44:48.9
294,HAF,DTH,36,15000,50:23.6,System02,45:49.0,System02,00:00.0,44:49.0
295,HAF,DTH,37,15000,50:23.6,System02,45:49.0,System02,00:00.0,44:49.0
296,HAF,DTH,38,15000,50:23.6,System02,45:49.0,System02,00:00.0,44:49.0
297,HAF,DTH,39,15000,50:23.6,System02,45:49.0,System02,00:00.0,44:49.0
298,HAF,DTH,40,15000,50:23.6,System02,45:49.0,System02,00:00.0,44:49.0
299,HAF,DTH,41,15000,50:23.6,System02,45:49.1,System02,00:00.0,44:49.1
300,HAF,DTH,42,15000,50:23.6,System02,45:49.1,System02,00:00.0,44:49.1
301,HAF,DTH,43,15000,50:23.6,System02,45:49.1,System02,00:00.0,44:49.1
302,HAF,DTH,44,15000,50:23.6,System02,45:49.1,System02,00:00.0,44:49.1
303,HAF,DTH,45,15000,50:23.6,System02,45:49.1,System02,00:00.0,44:49.1
